IU_Barcode,Field_ID,Date,Date2,Replicate,Treatment,Dispersal,Salinity,Salinity_real,NH4um,NO3um,PO4um,Maple_dmass,Spartina_dmass,Phrag_dmass,Cmin,Sample..
CSI004,4,6/11/15,0,A,4,3,0,0.3,0.52,0,0,2.66,2.7,8.25,46.72,A_4_11JUN15
CSI005,5,6/11/15,0,A,5,2,5,5.72,0.92,0,7.23,2.19,1.56,5.03,15.1,A_5_11JUN15
CSI006,6,6/11/15,0,A,6,3,5,6.04,0.73,0.97,5.09,2.04,1.82,5.01,54.99,A_6_11JUN15
CSI007,7,6/11/15,0,A,7,2,9,9.57,1.11,0,6.23,1.28,1.14,5.2,155.17,A_7_11JUN15
CSI008,8,6/11/15,0,A,8,3,9,10.6,1.02,0,7.27,1.39,0.47,4.01,0,A_8_11JUN15
CSI009,9,6/11/15,0,A,9,2,13,15.32,0.85,0,8.37,1.07,0.83,0.79,3.9,A_9_11JUN15
CSI010,10,6/11/15,0,A,10,3,13,13.41,1.33,0,8.36,2.23,1.66,5.48,81.56,A_10_11JUN15
CSI011,11,6/11/15,0,A,11,2,0,0.34,0.92,0,0,2.52,1.85,5.2,166.85,A_11_11JUN15
CSI015,15,6/11/15,0,B,4,3,0,0.31,0.82,0.81,7.07,1.7,1.75,5.17,70.73,B_4_11JUN15
CSI016,16,6/11/15,0,B,5,2,5,7.06,0.81,0,4.14,1.85,1.93,6.52,11.7,B_5_11JUN15
CSI017,17,6/11/15,0,B,6,3,5,6.12,0.66,0.6,5.52,1.89,1.56,4.3,3.96,B_6_11JUN15
CSI018,19,6/11/15,0,B,8,3,9,10.11,0.73,0,5.91,1.76,1.62,5.47,14.48,B_8_11JUN15
CSI019,20,6/11/15,0,B,9,2,13,13.18,0.62,0,3.2,1.69,1.41,2.84,30.5,B_9_11JUN15
CSI020,21,6/11/15,0,B,10,3,13,12.76,0.7,1.06,0,1.67,1.51,4.67,58.35,B_10_11JUN15
CSI021,22,6/11/15,0,B,11,2,0,0.33,0.69,0,0.17,2.1,1.88,5.55,26.49,B_11_11JUN15
CSI025,26,6/11/15,0,C,4,3,0,0.33,1.08,0,0,2.89,2.4,7.26,73.4,C_4_12JUN15
CSI026,27,6/11/15,0,C,5,2,5,5.18,1.51,0,5.62,2.08,1.83,5.19,77.25,C_5_12JUN15
CSI027,28,6/11/15,0,C,6,3,5,5.39,2.05,0,6.56,1.9,1.7,5.42,8.08,C_6_12JUN15
CSI028,29,6/11/15,0,C,7,2,9,9.24,1.08,0.77,7.64,1.43,1.39,5.52,1.18,C_7_12JUN15
CSI029,30,6/11/15,0,C,8,3,9,9.68,1.2,0,6.46,1.86,1.57,4.53,1.85,C_8_12JUN15
CSI030,31,6/11/15,0,C,9,2,13,13.43,1.07,0,5.2,2.03,1.57,4.94,52.41,C_9_12JUN15
CSI031,32,6/11/15,0,C,10,3,13,13.12,1.2,0,6.6,1.41,1.63,5.27,13.56,C_10_12JUN15
CSI032,33,6/11/15,0,C,11,2,0,0.31,0.92,0,0,2.67,2.45,7.24,58.58,C_11_12JUN15
CSI036,37,6/11/15,0,D,4,3,0,0.32,1.24,0,0,2.19,2.05,5.7,189,D_4_12JUN15
CSI037,38,6/11/15,0,D,5,2,5,7.28,0.99,0,6.03,1.91,1.69,2.91,0.73,D_5_12JUN15
CSI038,39,6/11/15,0,D,6,3,5,5.17,1.15,0,8.88,2.13,1.93,6.24,37.37,D_6_12JUN15
CSI039,40,6/11/15,0,D,7,2,9,9.64,0.72,0,6.87,2.4,1.51,5.56,18.14,D_7_12JUN15
CSI040,41,6/11/15,0,D,8,3,9,9.16,1.24,0,7.39,2.24,1.51,5.3,5.8,D_8_12JUN15
CSI041,42,6/11/15,0,D,9,2,13,13,0.89,0,8.7,1.94,1.14,4.2,10.11,D_9_12JUN15
CSI042,43,6/11/15,0,D,10,3,13,12.5,3.63,0,4.1,2.03,1.41,4.54,35.26,D_10_12JUN15
CSI043,44,6/11/15,0,D,11,2,0,0.3,1.18,1.22,0,2.02,2.13,1.66,100.9,D_11_12JUN15
CSI047,224,7/26/15,45,A,4,3,0,0.53,1.09,0,0,2.66,2.7,8.25,46.72,A_4_11JUN15
CSI048,225,7/26/15,45,A,5,2,5,4.33,1.77,0,0,2.19,1.56,5.03,15.1,A_5_11JUN15
CSI049,226,7/26/15,45,A,6,3,5,4.51,1.59,0,0,2.04,1.82,5.01,54.99,A_6_11JUN15
CSI050,227,7/26/15,45,A,7,2,9,7.77,1.73,0,0,1.28,1.14,5.2,155.17,A_7_11JUN15
CSI051,228,7/26/15,45,A,8,3,9,8.54,1.41,0.54,0,1.39,0.47,4.01,0,A_8_11JUN15
CSI052,229,7/26/15,45,A,9,2,13,10.55,1.04,0,0,1.07,0.83,0.79,3.9,A_9_11JUN15
CSI053,230,7/26/15,45,A,10,3,13,10.92,1.18,0,0.08,2.23,1.66,5.48,81.56,A_10_11JUN15
CSI054,231,7/26/15,45,A,11,2,0,0.44,1.14,0,0.11,2.52,1.85,5.2,166.85,A_11_11JUN15
CSI058,235,7/26/15,45,B,4,3,0,0.51,1.24,0,0,1.7,1.75,5.17,70.73,B_4_11JUN15
CSI059,236,7/26/15,45,B,5,2,5,5.02,1.27,0,0,1.85,1.93,6.52,11.7,B_5_11JUN15
CSI060,237,7/26/15,45,B,6,3,5,4.58,1.25,0,0,1.89,1.56,4.3,3.96,B_6_11JUN15
CSI061,239,7/26/15,45,B,8,3,9,8,1.69,0,0,1.76,1.62,5.47,14.48,B_8_11JUN15
CSI062,240,7/26/15,45,B,9,2,13,11.33,2.18,0,0,1.69,1.41,2.84,30.5,B_9_11JUN15
CSI063,241,7/26/15,45,B,10,3,13,11.11,1.5,0,0,1.67,1.51,4.67,58.35,B_10_11JUN15
CSI064,242,7/26/15,45,B,11,2,0,0.39,NA,NA,NA,2.1,1.88,5.55,26.49,B_11_11JUN15
CSI068,246,7/26/15,45,C,4,3,0,0.48,1.69,0.56,0,2.89,2.4,7.26,73.4,C_4_12JUN15
CSI069,247,7/26/15,45,C,5,2,5,4.19,2.21,0,0,2.08,1.83,5.19,77.25,C_5_12JUN15
CSI070,248,7/26/15,45,C,6,3,5,4.71,1.2,0,0,1.9,1.7,5.42,8.08,C_6_12JUN15
CSI071,249,7/26/15,45,C,7,2,9,7.41,1.22,1.09,0,1.43,1.39,5.52,1.18,C_7_12JUN15
CSI072,250,7/26/15,45,C,8,3,9,8.45,1.33,0,0.09,1.86,1.57,4.53,1.85,C_8_12JUN15
CSI073,251,7/26/15,45,C,9,2,13,11.34,1.99,0.65,0.15,2.03,1.57,4.94,52.41,C_9_12JUN15
CSI074,252,7/26/15,45,C,10,3,13,10.45,1.69,0,0.1,1.41,1.63,5.27,13.56,C_10_12JUN15
CSI075,253,7/26/15,45,C,11,2,0,0.41,1.17,0,0,2.67,2.45,7.24,58.58,C_11_12JUN15
CSI079,257,7/26/15,45,D,4,3,0,0.45,1.77,0,0,2.19,2.05,5.7,189,D_4_12JUN15
CSI080,258,7/26/15,45,D,5,2,5,4.48,1.49,0,0,1.91,1.69,2.91,0.73,D_5_12JUN15
CSI081,259,7/26/15,45,D,6,3,5,4.46,1.99,0,0,2.13,1.93,6.24,37.37,D_6_12JUN15
CSI082,260,7/26/15,45,D,7,2,9,7.94,1.5,0,0,2.4,1.51,5.56,18.14,D_7_12JUN15
CSI083,261,7/26/15,45,D,8,3,9,7.89,1.69,0,0,2.24,1.51,5.3,5.8,D_8_12JUN15
CSI084,262,7/26/15,45,D,9,2,13,7,1.72,0,0,1.94,1.14,4.2,10.11,D_9_12JUN15
CSI085,263,7/26/15,45,D,10,3,13,11.66,1.82,0,0,2.03,1.41,4.54,35.26,D_10_12JUN15
CSI086,264,7/26/15,45,D,11,2,0,0.35,1.09,0,0,2.02,2.13,1.66,100.9,D_11_12JUN15
CSI090,92,6/29/15,18,A,4,3,0,0.4,NA,NA,NA,2.66,2.7,8.25,46.72,A_4_11JUN15
CSI091,93,6/29/15,18,A,5,2,5,5.33,NA,NA,NA,2.19,1.56,5.03,15.1,A_5_11JUN15
CSI092,94,6/29/15,18,A,6,3,5,5.58,NA,NA,NA,2.04,1.82,5.01,54.99,A_6_11JUN15
CSI093,95,6/29/15,18,A,7,2,9,10.06,NA,NA,NA,1.28,1.14,5.2,155.17,A_7_11JUN15
CSI094,96,6/29/15,18,A,8,3,9,10.11,NA,NA,NA,1.39,0.47,4.01,0,A_8_11JUN15
CSI095,97,6/29/15,18,A,9,2,13,12.17,NA,NA,NA,1.07,0.83,0.79,3.9,A_9_11JUN15
CSI096,98,6/29/15,18,A,10,3,13,13.6,NA,NA,NA,2.23,1.66,5.48,81.56,A_10_11JUN15
CSI097,99,6/29/15,18,A,11,2,0,0.43,NA,NA,NA,2.52,1.85,5.2,166.85,A_11_11JUN15
CSI101,103,6/29/15,18,B,4,3,0,0.48,NA,NA,NA,1.7,1.75,5.17,70.73,B_4_11JUN15
CSI102,104,6/29/15,18,B,5,2,5,6.48,NA,NA,NA,1.85,1.93,6.52,11.7,B_5_11JUN15
CSI103,105,6/29/15,18,B,6,3,5,5.76,NA,NA,NA,1.89,1.56,4.3,3.96,B_6_11JUN15
CSI104,107,6/29/15,18,B,8,3,9,9.1,NA,NA,NA,1.76,1.62,5.47,14.48,B_8_11JUN15
CSI105,108,6/29/15,18,B,9,2,13,14.29,NA,NA,NA,1.69,1.41,2.84,30.5,B_9_11JUN15
CSI106,109,6/29/15,18,B,10,3,13,13.25,NA,NA,NA,1.67,1.51,4.67,58.35,B_10_11JUN15
CSI107,110,6/29/15,18,B,11,2,0,0.41,NA,NA,NA,2.1,1.88,5.55,26.49,B_11_11JUN15
CSI111,114,6/29/15,18,C,4,3,0,0.45,NA,NA,NA,2.89,2.4,7.26,73.4,C_4_12JUN15
CSI112,115,6/29/15,18,C,5,2,5,5.38,NA,NA,NA,2.08,1.83,5.19,77.25,C_5_12JUN15
CSI113,116,6/29/15,18,C,6,3,5,5.68,NA,NA,NA,1.9,1.7,5.42,8.08,C_6_12JUN15
CSI114,117,6/29/15,18,C,7,2,9,8.58,NA,NA,NA,1.43,1.39,5.52,1.18,C_7_12JUN15
CSI115,118,6/29/15,18,C,8,3,9,8.76,NA,NA,NA,1.86,1.57,4.53,1.85,C_8_12JUN15
CSI116,119,6/29/15,18,C,9,2,13,13.78,NA,NA,NA,2.03,1.57,4.94,52.41,C_9_12JUN15
CSI117,120,6/29/15,18,C,10,3,13,12.16,NA,NA,NA,1.41,1.63,5.27,13.56,C_10_12JUN15
CSI118,121,6/29/15,18,C,11,2,0,0.43,NA,NA,NA,2.67,2.45,7.24,58.58,C_11_12JUN15
CSI122,125,6/29/15,18,D,4,3,0,0.43,NA,NA,NA,2.19,2.05,5.7,189,D_4_12JUN15
CSI123,126,6/29/15,18,D,5,2,5,5.28,NA,NA,NA,1.91,1.69,2.91,0.73,D_5_12JUN15
CSI124,127,6/29/15,18,D,6,3,5,5.58,NA,NA,NA,2.13,1.93,6.24,37.37,D_6_12JUN15
CSI125,128,6/29/15,18,D,7,2,9,8.92,NA,NA,NA,2.4,1.51,5.56,18.14,D_7_12JUN15
CSI126,129,6/29/15,18,D,8,3,9,9.49,NA,NA,NA,2.24,1.51,5.3,5.8,D_8_12JUN15
CSI127,130,6/29/15,18,D,9,2,13,13.56,NA,NA,NA,1.94,1.14,4.2,10.11,D_9_12JUN15
CSI128,131,6/29/15,18,D,10,3,13,13.57,NA,NA,NA,2.03,1.41,4.54,35.26,D_10_12JUN15
CSI129,132,6/29/15,18,D,11,2,0,0.38,NA,NA,NA,2.02,2.13,1.66,100.9,D_11_12JUN15