IU_Barcode,Tank_Name,Date,Date2,Replicate,Number,Salinity,Dispersal,Sample,NH4uM,NO3NO2uM,PO4uM,Maple_dmass,Spartina_dmass,Phrag_dmass,Cmin
CSI044,A1_2015-July25,26-Jul-15,45,A,1,13,0,CSI-221,0.73,0.53,0.03,0.80,-0.08,-0.09,0.19
CSI045,A2_2015-July25,26-Jul-15,45,A,2,0,0,CSI-222,0.75,0.53,0.03,2.34,2.03,6.45,110.67
CSI046,A3_2015-July25,26-Jul-15,45,A,3,0,1,CSI-223,0.99,0.54,0.03,2.16,1.69,6.30,64.06
CSI047,A4_2015-July25,26-Jul-15,45,A,4,0,3,CSI-224,1.09,0.53,0.03,2.66,2.70,8.25,46.72
CSI048,A5_2015-July25,26-Jul-15,45,A,5,5,2,CSI-225,1.77,0.53,0.03,2.19,1.56,5.03,15.10
CSI049,A6_2015-July25,26-Jul-15,45,A,6,5,3,CSI-226,1.59,0.53,0.03,2.04,1.82,5.01,54.99
CSI050,A7_2015-July25,26-Jul-15,45,A,7,9,2,CSI-227,1.73,0.53,0.03,1.28,1.14,5.20,155.17
CSI051,A8_2015-July25,26-Jul-15,45,A,8,9,3,CSI-228,1.41,0.54,0.03,1.39,0.47,4.01,0.00
CSI052,A9_2015-July25,26-Jul-15,45,A,9,13,2,CSI-229,1.04,0.53,0.03,1.07,0.83,0.79,3.90
CSI053,A10_2015-July25,26-Jul-15,45,A,10,13,3,CSI-230,1.18,0.53,0.08,2.23,1.66,5.48,81.56
CSI054,A11_2015-July25,26-Jul-15,45,A,11,0,2,CSI-231,1.14,0.53,0.11,2.52,1.85,5.20,166.85
CSI055,B1_2015-July25,26-Jul-15,45,B,1,13,0,CSI-232,1.37,0.53,0.03,2.02,1.48,3.90,38.10
CSI056,B2_2015-July25,26-Jul-15,45,B,2,0,0,CSI-233,1.2,0.53,0.03,2.28,2.12,5.40,60.38
CSI057,B3_2015-July25,26-Jul-15,45,B,3,0,1,CSI-234,1.22,0.53,0.03,2.29,1.76,5.12,145.53
CSI058,B4_2015-July25,26-Jul-15,45,B,4,0,3,CSI-235,1.24,0.53,0.03,1.70,1.75,5.17,70.73
CSI059,B5_2015-July25,26-Jul-15,45,B,5,5,2,CSI-236,1.27,0.53,0.03,1.85,1.93,6.52,11.70
CSI060,B6_2015-July25,26-Jul-15,45,B,6,5,3,CSI-237,1.25,0.53,0.03,1.89,1.56,4.30,3.96
CSI061,B8_2015-July25,26-Jul-15,45,B,8,9,3,CSI-239,1.69,0.53,0.03,1.76,1.62,5.47,14.48
CSI062,B9_2015-July25,26-Jul-15,45,B,9,13,2,CSI-240,2.18,0.53,0.03,1.69,1.41,2.84,30.50
CSI063,B10_2015-July25,26-Jul-15,45,B,10,13,3,CSI-241,1.5,0.53,0.03,1.67,1.51,4.67,58.35
CSI064,B11_2015-July25,26-Jul-15,45,B,11,0,2,CSI-242,NA,NA,NA,2.10,1.88,5.55,26.49
CSI065,C1_2015-July25,26-Jul-15,45,C,1,13,0,CSI-243,1.63,0.82,0.03,1.49,1.49,1.23,4.47
CSI066,C2_2015-July25,26-Jul-15,45,C,2,0,0,CSI-244,2.08,0.53,0.03,2.31,2.14,5.66,107.79
CSI067,C3_2015-July25,26-Jul-15,45,C,3,0,1,CSI-245,1.77,0.53,0.03,2.13,2.18,5.85,73.64
CSI068,C4_2015-July25,26-Jul-15,45,C,4,0,3,CSI-246,1.69,0.56,0.03,2.89,2.40,7.26,73.40
CSI069,C5_2015-July25,26-Jul-15,45,C,5,5,2,CSI-247,2.21,0.53,0.03,2.08,1.83,5.19,77.25
CSI070,C6_2015-July25,26-Jul-15,45,C,6,5,3,CSI-248,1.2,0.53,0.03,1.90,1.70,5.42,8.08
CSI071,C7_2015-July25,26-Jul-15,45,C,7,9,2,CSI-249,1.22,1.09,0.03,1.43,1.39,5.52,1.18
CSI072,C8_2015-July25,26-Jul-15,45,C,8,9,3,CSI-250,1.33,0.53,0.09,1.86,1.57,4.53,1.85
CSI073,C9_2015-July25,26-Jul-15,45,C,9,13,2,CSI-251,1.99,0.65,0.15,2.03,1.57,4.94,52.41
CSI074,C10_2015-July25,26-Jul-15,45,C,10,13,3,CSI-252,1.69,0.53,0.1,1.41,1.63,5.27,13.56
CSI075,C11_2015-July25,26-Jul-15,45,C,11,0,2,CSI-253,1.17,0.53,0.03,2.67,2.45,7.24,58.58
CSI076,D1_2015-July25,26-Jul-15,45,D,1,13,0,CSI-254,1.05,0.53,0.07,1.84,1.40,4.18,21.18
CSI077,D2_2015-July25,26-Jul-15,45,D,2,0,0,CSI-255,2.22,0.53,0.03,2.16,1.79,5.23,132.16
CSI078,D3_2015-July25,26-Jul-15,45,D,3,0,1,CSI-256,2.08,0.53,0.03,2.31,2.11,5.18,267.44
CSI079,D4_2015-July25,26-Jul-15,45,D,4,0,3,CSI-257,1.77,0.53,0.03,2.19,2.05,5.70,189.00
CSI080,D5_2015-July25,26-Jul-15,45,D,5,5,2,CSI-258,1.49,0.53,0.03,1.91,1.69,2.91,0.73
CSI081,D6_2015-July25,26-Jul-15,45,D,6,5,3,CSI-259,1.99,0.53,0.03,2.13,1.93,6.24,37.37
CSI082,D7_2015-July25,26-Jul-15,45,D,7,9,2,CSI-260,1.5,0.53,0.03,2.40,1.51,5.56,18.14
CSI083,D8_2015-July25,26-Jul-15,45,D,8,9,3,CSI-261,1.69,0.53,0.03,2.24,1.51,5.30,5.80
CSI084,D9_2015-July25,26-Jul-15,45,D,9,13,2,CSI-262,1.72,0.53,0.03,1.94,1.14,4.20,10.11
CSI085,D10_2015-July25,26-Jul-15,45,D,10,13,3,CSI-263,1.82,0.53,0.03,2.03,1.41,4.54,35.26
CSI086,D11_2015-July25,26-Jul-15,45,D,11,0,2,CSI-264,1.09,0.53,0.03,2.02,2.13,1.66,100.90