IU_Barcode,CSI_ID,ID,Date,Replicate,Treatment,Dispersal,Calanoida,Chydoridae,Harpacticoida,Acartia,Ceriodaphnia,Ostracoda,Cyclopoida,Daphniidae,Bosminidae,Isopoda,Nauplius,Scapholeberis,Simocephalus,Daphnia,Rotifera,Unknown,Water.mite,Sididae,Chironomidae,Annelida,Philopotamidae,Caddisfly,Jellyfish,Mysidae,Arthropoda,Rhyacophiliidae,Miridae
CSI004,ECU_CSI_004,4,6/11/15,A,4,3,14,228,1,0,38,0,385,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI005,ECU_CSI_005,5,6/11/15,A,5,2,268,32,8,0,0,1,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
CSI006,ECU_CSI_006,6,6/11/15,A,6,3,47,33,11,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI007,ECU_CSI_007,7,6/11/15,A,7,2,60,8,1,0,0,6,79,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI008,ECU_CSI_008,8,6/11/15,A,8,3,287,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI009,ECU_CSI_009,9,6/11/15,A,9,2,397,0,40,10,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI010,ECU_CSI_010,10,6/11/15,A,10,3,74,0,42,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
CSI011,ECU_CSI_011,11,6/11/15,A,11,2,0,161,1,0,8,4,60,2,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CSI015,ECU_CSI_015,15,6/11/15,B,4,3,0,544,0,0,41,8,120,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI016,ECU_CSI_016,16,6/11/15,B,5,2,36,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI017,ECU_CSI_017,17,6/11/15,B,6,3,126,26,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI018,ECU_CSI_019,19,6/11/15,B,8,3,7,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI019,ECU_CSI_020,20,6/11/15,B,9,2,34,0,55,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI020,ECU_CSI_021,21,6/11/15,B,10,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
CSI021,ECU_CSI_022,22,6/11/15,B,11,2,0,95,0,0,1,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI025,ECU_CSI_026,26,6/11/15,C,4,3,2,183,0,0,25,7,8,1,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSI026,ECU_CSI_027,27,6/11/15,C,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI027,ECU_CSI_028,28,6/11/15,C,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI028,ECU_CSI_029,29,6/11/15,C,7,2,34,1,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI029,ECU_CSI_030,30,6/11/15,C,8,3,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI030,ECU_CSI_031,31,6/11/15,C,9,2,10,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI031,ECU_CSI_032,32,6/11/15,C,10,3,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI032,ECU_CSI_033,33,6/11/15,C,11,2,2,3,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI036,ECU_CSI_037,37,6/11/15,D,4,3,5,32,0,0,0,2,12,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSI037,ECU_CSI_038,38,6/11/15,D,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI038,ECU_CSI_039,39,6/11/15,D,6,3,31,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI039,ECU_CSI_040,40,6/11/15,D,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI040,ECU_CSI_041,41,6/11/15,D,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI042,ECU_CSI_043,43,6/11/15,D,10,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI043,ECU_CSI_044,44,6/11/15,D,11,2,0,20,1,0,0,1,32,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI047,ECU_CSI_224,224,7/26/15,A,4,3,0,91,0,0,41,29,1641,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI048,ECU_CSI_225,225,7/26/15,A,5,2,447,17,1,0,0,881,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI049,ECU_CSI_226,226,7/26/15,A,6,3,7,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI050,ECU_CSI_227,227,7/26/15,A,7,2,61,2,53,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI051,ECU_CSI_228,228,7/26/15,A,8,3,0,4,54,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI052,ECU_CSI_229,229,7/26/15,A,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI053,ECU_CSI_230,230,7/26/15,A,10,3,124,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI054,ECU_CSI_231,231,7/26/15,A,11,2,0,15,0,0,33,2,2929,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI058,ECU_CSI_235,235,7/26/15,B,4,3,0,7,0,0,4,11,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI059,ECU_CSI_236,236,7/26/15,B,5,2,19,0,18,0,0,102,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI060,ECU_CSI_237,237,7/26/15,B,6,3,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI061,ECU_CSI_239,239,7/26/15,B,8,3,348,4,604,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI062,ECU_CSI_240,240,7/26/15,B,9,2,56,2,33,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI063,ECU_CSI_241,241,7/26/15,B,10,3,199,27,320,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI064,ECU_CSI_242,242,7/26/15,B,11,2,0,4,0,0,0,6,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI068,ECU_CSI_246,246,7/26/15,C,4,3,0,29,0,0,17,18,89,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI069,ECU_CSI_247,247,7/26/15,C,5,2,11,3,24,0,0,133,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI070,ECU_CSI_248,248,7/26/15,C,6,3,15,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI071,ECU_CSI_249,249,7/26/15,C,7,2,2,0,53,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI072,ECU_CSI_250,250,7/26/15,C,8,3,8,0,21,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI073,ECU_CSI_251,251,7/26/15,C,9,2,82,0,1818,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI074,ECU_CSI_252,252,7/26/15,C,10,3,99,0,184,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI075,ECU_CSI_253,253,7/26/15,C,11,2,0,0,0,0,0,12,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI079,ECU_CSI_257,257,7/26/15,D,4,3,0,51,0,0,0,14,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI080,ECU_CSI_258,258,7/26/15,D,5,2,0,2,30,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI081,ECU_CSI_259,259,7/26/15,D,6,3,14,2,13,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI082,ECU_CSI_260,260,7/26/15,D,7,2,34,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI083,ECU_CSI_261,261,7/26/15,D,8,3,157,0,162,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI084,ECU_CSI_262,262,7/26/15,D,9,2,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI085,ECU_CSI_263,263,7/26/15,D,10,3,24,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI086,ECU_CSI_264,264,7/26/15,D,11,2,0,43,0,0,2,48,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI090,ECU_CSI_092,92,6/29/15,A,4,3,0,349,0,0,67,50,172,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI091,ECU_CSI_093,93,6/29/15,A,5,2,65,46,3,0,0,1,92,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI092,ECU_CSI_094,94,6/29/15,A,6,3,73,2,11,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI093,ECU_CSI_095,95,6/29/15,A,7,2,40,17,298,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI094,ECU_CSI_096,96,6/29/15,A,8,3,7,0,17,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI095,ECU_CSI_097,97,6/29/15,A,9,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI096,ECU_CSI_098,98,6/29/15,A,10,3,62,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI097,ECU_CSI_099,99,6/29/15,A,11,2,0,121,1,0,90,16,393,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI102,ECU_CSI_104,104,6/29/15,B,5,2,34,6,10,0,0,2,50,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0
CSI103,ECU_CSI_105,105,6/29/15,B,6,3,31,7,0,0,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI104,ECU_CSI_107,107,6/29/15,B,8,3,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI105,ECU_CSI_108,108,6/29/15,B,9,2,86,0,89,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI106,ECU_CSI_109,109,6/29/15,B,10,3,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI107,ECU_CSI_110,110,6/29/15,B,11,2,0,6,1,0,0,0,235,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI111,ECU_CSI_114,114,6/29/15,C,4,3,0,6,0,0,2,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI112,ECU_CSI_115,115,6/29/15,C,5,2,6,2,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI113,ECU_CSI_116,116,6/29/15,C,6,3,5,2,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI114,ECU_CSI_117,117,6/29/15,C,7,2,4,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI115,ECU_CSI_118,118,6/29/15,C,8,3,27,0,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI116,ECU_CSI_119,119,6/29/15,C,9,2,31,0,2,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI117,ECU_CSI_120,120,6/29/15,C,10,3,27,0,3,1,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI118,ECU_CSI_121,121,6/29/15,C,11,2,0,115,0,0,87,25,215,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI122,ECU_CSI_125,125,6/29/15,D,4,3,0,109,0,0,0,57,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI123,ECU_CSI_126,126,6/29/15,D,5,2,0,4,0,0,0,11,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI124,ECU_CSI_127,127,6/29/15,D,6,3,50,38,0,0,0,3,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CSI125,ECU_CSI_128,128,6/29/15,D,7,2,42,0,1,7,0,0,27,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI126,ECU_CSI_129,129,6/29/15,D,8,3,0,0,0,0,0,0,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI127,ECU_CSI_130,130,6/29/15,D,9,2,96,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI128,ECU_CSI_131,131,6/29/15,D,10,3,35,0,0,2,0,0,82,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI129,ECU_CSI_132,132,6/29/15,D,11,2,0,6,0,0,0,6,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0