Treatment,Rep #,Control Y/N,Chl_time_1,Chl 1,Nh4_time_1,Nh4 1,pH1,Temp 1,Chl_time_2,Chl_Time_Diff,Chl 2,Nh4_time_2,Nh4_Time_Dif,Nh4 2,pH2,Temp 2,# of Daphnia,size class,date
1,1,N,8:48:00 AM,8.198,9:29:00 AM,15.86,7.8,20.9,3:17:00 PM,389.00,5.485,3:42:00 PM,373.00,18.79,7.8,21.3,21,s,10_4_2017
1,2,N,10:01:00 AM,7.265,10:59:00 AM,15.96,7.8,21.4,4:30:00 PM,389.00,6.736,5:42:00 PM,403.00,16.84,7.8,21.5,21,s,10_4_2017
1,3,N,8:19:00 AM,6.965,9:44:00 AM,16.86,7.7,21,2:46:00 PM,387.00,5.44,4:21:00 PM,397.00,18.18,7.7,21.6,22,s,10_4_2017
1,4,N,9:12:00 AM,7.16,9:55:00 AM,14.97,7.7,21.2,3:43:00 PM,391.00,5.881,4:43:00 PM,408.00,15.71,7.7,21.7,22,s,10_4_2017
1,5,N,7:57:00 AM,8.013,8:22:00 AM,17.83,7.9,21.6,2:28:00 PM,391.00,5.555,2:50:00 PM,388.00,21.75,7.8,22.1,26,s,10_4_2017
1,6,Y,10:14:00 AM,6.757,11:40:00 AM,16.36,7.7,22.1,4:45:00 PM,391.00,8.343,6:22:00 PM,402.00,16.82,7.7,21.5,0,s,10_4_2017
1,7,Y,9:42:00 AM,7.551,10:18:00 AM,15.11,7.8,21.9,3:07:00 PM,325.00,8.953,5:08:00 PM,410.00,17.53,7.8,21.4,0,s,10_4_2017
1,8,Y,10:29:00 AM,7.189,12:17:00 PM,16.99,7.8,21.8,4:58:00 PM,389.00,9.862,7:03:00 PM,406.00,16.89,7.8,21.2,0,s,10_4_2017
2,9,N,8:25:00 AM,14.89,8:53:00 AM,18.85,7.8,20.7,2:51:00 PM,386.00,9.902,3:30:00 PM,397.00,20.71,-,22.9,28,s,10_4_2017
2,10,N,10:32:00 AM,13.76,12:25:00 PM,19.83,7.8,21.6,5:01:00 PM,389.00,12.93,7:07:00 PM,402.00,19.63,7.8,21.3,23,s,10_4_2017
2,11,N,10:18:00 AM,12.87,11:50:00 AM,20.04,7.8,22.2,4:49:00 PM,391.00,12.37,6:36:00 PM,406.00,20.55,7.8,21.5,21,s,10_4_2017
2,12,N,8:02:00 AM,11.67,8:32:00 AM,19.82,8.1,20.7,2:30:00 PM,388.00,8.136,3:32:00 PM,420.00,21.72,7.8,21.4,30,s,10_4_2017
2,13,N,9:19:00 AM,13.47,9:49:00 AM,19.34,7.8,21.5,3:46:00 PM,387.00,7.917,4:32:00 PM,403.00,21.41,77,21.4,24,s,10_4_2017
2,14,Y,10:03:00 AM,13.89,11:02:00 AM,18.45,7.8,21.6,4:36:00 PM,393.00,16,5:55:00 PM,413.00,20.27,7.8,21.5,0,s,10_4_2017
2,15,Y,8:52:00 AM,13.81,10:50:00 AM,18.85,7.8,21.7,3:23:00 PM,391.00,14.01,5:31:00 PM,401.00,19.83,7.8,21.8,0,s,10_4_2017
2,16,Y,9:49:00 AM,13.13,10:22:00 AM,18.46,7.8,21.7,4:15:00 PM,386.00,12.98,5:13:00 PM,411.00,20.53,7.8,21.7,0,s,10_4_2017
3,17,N,9:52:00 AM,1.222,10:25:00 AM,11.87,7.7,21.7,4:20:00 PM,388.00,1.194,5:18:00 PM,413.00,13.22,7.7,21.8,24,s,10_4_2017
3,18,N,8:59:00 AM,1.428,9:20:00 AM,12.55,7.7,20.8,3:29:00 PM,390.00,1.154,3:35:00 PM,375.00,13.33,7.7,21.6,28,s,10_4_2017
3,19,N,8:30:00 AM,1.132,10:46:00 AM,12.95,7.7,21.6,3:00:00 PM,390.00,1.123,5:23:00 PM,397.00,12.7,7.7,21.9,23,s,10_4_2017
3,20,N,10:38:00 AM,1.015,12:42:00 PM,13.84,7.7,21.6,4:07:00 PM,329.00,1.11,7:34:00 PM,412.00,13.42,7.7,21.5,29,s,10_4_2017
3,21,N,10:06:00 AM,1.082,11:08:00 AM,13.57,7.7,21.8,4:36:00 PM,390.00,1.051,6:00:00 PM,412.00,13.66,7.7,21.1,17,s,10_4_2017
3,22,Y,10:20:00 AM,1.12,11:54:00 AM,13.2,7.7,21.7,4:51:00 PM,391.00,1.226,6:38:00 PM,404.00,13.9,7.7,21.5,0,s,10_4_2017
3,23,Y,8:05:00 AM,1.024,8:38:00 AM,11.82,7.7,20.7,2:32:00 PM,387.00,1.248,3:40:00 PM,422.00,13.03,7.8,21.4,0,s,10_4_2017
3,24,Y,9:24:00 AM,1.183,9:58:00 AM,11.24,7.8,21.8,3:48:00 PM,384.00,1.077,4:46:00 PM,408.00,11.99,7.7,21.6,0,s,10_4_2017
4,25,N,9:03:00 AM,21.07,9:48:00 AM,23.92,7.8,21.1,3:33:00 PM,390.00,17.32,4:17:00 PM,389.00,26.55,7.8,21.6,22,s,10_4_2017
4,26,N,8:36:00 AM,22.39,9:08:00 AM,24.05,7.8,20.9,3:04:00 PM,388.00,16.32,4:02:00 PM,414.00,27.28,7.8,21.9,23,s,10_4_2017
4,27,N,9:28:00 AM,20.4,10:10:00 AM,23.65,7.9,21.8,3:52:00 PM,384.00,17.08,4:55:00 PM,405.00,25.07,7.8,21.5,22,s,10_4_2017
4,28,N,8:10:00 AM,21.67,8:49:00 AM,23.65,7.9,20.8,2:37:00 PM,387.00,16.49,3:18:00 PM,389.00,26.89,7.8,21.4,22,s,10_4_2017
4,29,N,10:24:00 AM,25.84,12:08:00 PM,25.06,7.8,21.7,4:52:00 PM,388.00,24.28,6:50:00 PM,402.00,27.7,7.8,21.4,37,s,10_4_2017
4,30,Y,10:36:00 AM,24.58,12:37:00 PM,26.18,7.8,21.5,5:10:00 PM,394.00,30.2,7:23:00 PM,406.00,26.85,7.8,21.3,0,s,10_4_2017
4,31,Y,10:08:00 AM,24.69,11:28:00 AM,25.71,7.8,22.1,4:37:00 PM,389.00,28.89,5:09:00 PM,341.00,26.17,7.8,21.5,0,s,10_4_2017
4,32,Y,9:54:00 AM,20.45,10:42:00 AM,22.37,7.8,21.8,4:25:00 PM,391.00,20.08,5:20:00 PM,398.00,22.27,7.8,21.8,0,s,10_4_2017
5,33,N,9:38:00 AM,2.872,10:15:00 AM,13.36,7.8,21.6,3:04:00 PM,326.00,2.548,5:00:00 PM,405.00,14.33,7.7,22,23,s,10_4_2017
5,34,N,8:43:00 AM,3.718,9:15:00 AM,13.71,7.7,21.7,3:13:00 PM,390.00,3.225,3:45:00 PM,390.00,14.14,7.7,21.5,22,s,10_4_2017
5,35,N,10:27:00 AM,2.94,12:14:00 PM,14.95,7.7,21.7,4:56:00 PM,389.00,2.865,6:57:00 PM,403.00,15.7,7.7,21.1,32,s,10_4_2017
5,36,N,10:41:00 AM,3.72,12:47:00 PM,13.77,7.8,21.5,5:11:00 PM,390.00,4.462,7:30:00 PM,403.00,14.62,7.7,21.4,32,s,10_4_2017
5,37,N,8:13:00 AM,3.105,10:12:00 AM,14.01,7.8,21.9,2:40:00 PM,387.00,2.081,4:59:00 PM,407.00,14.55,7.7,21.6,23,s,10_4_2017
5,38,Y,9:06:00 AM,3.043,9:52:00 AM,13.64,7.8,21.8,3:36:00 PM,390.00,2.881,4:40:00 PM,408.00,14.92,7.7,21.8,0,s,10_4_2017
5,39,Y,9:58:00 AM,2.844,10:53:00 AM,13.81,7.8,21.6,4:27:00 PM,389.00,3.133,5:35:00 PM,402.00,14.62,7.8,21.4,0,s,10_4_2017
5,40,Y,10:11:00 AM,2.537,11:31:00 AM,11.54,7.7,21.8,4:41:00 PM,390.00,2.896,6:16:00 PM,405.00,12.02,7.7,21.5,0,s,10_4_2017
1,1,N,8:34:00 AM,10.25,8:48:00 AM,20.39,8.6,19.7,2:30:00 PM,356.00,7.226,2:44:00 PM,356.00,11.65,8.6,20.5,23,s,1_8_2018
1,2,N,9:54:00 AM,8.384,10:50:00 AM,11.42,8.7,18.8,3:54:00 PM,360.00,8.236,4:42:00 PM,352.00,12.54,8.6,20.1,15,s,1_8_2018
1,3,N,10:21:00 AM,8.244,11:18:00 AM,12.35,8.7,18.9,4:25:00 PM,364.00,8.187,5:04:00 PM,346.00,14.46,8.5,20.1,15,s,1_8_2018
1,4,N,11:04:00 AM,8.397,11:41:00 AM,11.8,8.6,19,5:04:00 PM,360.00,8.152,5:42:00 PM,361.00,12.84,8.6,19.8,13,s,1_8_2018
1,5,N,12:18:00 PM,7.858,1:24:00 PM,12.88,8.6,19.5,6:15:00 PM,357.00,6.22,5:34:00 PM,250.00,12.63,8.6,20.3,22,s,1_8_2018
1,6,Y,9:04:00 AM,8.4,9:46:00 AM,13.13,8.6,19.3,3:00:00 PM,356.00,8.023,3:51:00 PM,365.00,10.27,8.6,20.1,0,s,1_8_2018
1,7,Y,9:20:00 AM,7.924,10:09:00 AM,11.89,8.8,19,3:17:00 PM,357.00,8.05,4:12:00 PM,363.00,11.35,8.6,20.1,0,s,1_8_2018
1,8,Y,11:48:00 AM,7.239,12:58:00 PM,12.6,8.7,19.2,5:46:00 PM,358.00,7.163,6:59:00 PM,361.00,15.3,8.7,20.2,0,s,1_8_2018
2,9,N,9:23:00 AM,17.03,8:54:00 AM,19.43,8.9,19.3,2:33:00 PM,310.00,10.51,2:54:00 PM,360.00,12.62,8.8,20.1,23,s,1_8_2018
2,10,N,8:52:00 AM,17.12,9:15:00 AM,13.04,8.5,19.3,2:52:00 PM,360.00,14.29,3:22:00 PM,367.00,14.73,8.5,19.9,13,s,1_8_2018
2,11,N,10:24:00 AM,15.74,11:25:00 AM,10.79,8.8,19,4:28:00 PM,364.00,14.57,5:18:00 PM,353.00,14.23,8.6,20.2,19,s,1_8_2018
2,12,N,11:07:00 AM,14.58,11:47:00 AM,12.01,8.6,19.1,5:05:00 PM,358.00,14.07,5:47:00 PM,360.00,12.47,8.6,20,19,s,1_8_2018
2,13,N,11:37:00 AM,15.32,12:24:00 PM,12.69,8.6,18.9,5:37:00 PM,360.00,15.41,6:24:00 PM,360.00,12.31,8.6,20.1,16,s,1_8_2018
2,14,Y,9:23:00 AM,17.85,10:20:00 AM,13.76,8.7,18.9,3:19:00 PM,356.00,15.09,4:21:00 PM,361.00,15.85,8.7,20.1,0,s,1_8_2018
2,15,Y,10:01:00 AM,16.24,10:55:00 AM,11.42,8.7,18.8,3:57:00 PM,356.00,17.19,4:45:00 PM,350.00,13.31,8.7,20.1,0,s,1_8_2018
2,16,Y,12:35:00 PM,13.59,1:34:00 PM,17.39,8.7,19.3,6:19:00 PM,344.00,14.23,5:46:00 PM,252.00,16.2,8.7,20.3,0,s,1_8_2018
3,17,N,8:39:00 AM,0.999,9:00:00 AM,14.4,8.9,19.3,2:34:00 PM,355.00,0.847,2:56:00 PM,356.00,10.65,8.7,20.1,18,s,1_8_2018
3,18,N,8:56:00 AM,1.005,9:24:00 AM,12.25,8.5,19.4,2:55:00 PM,359.00,0.848,3:29:00 PM,365.00,11.78,8.5,20,24,s,1_8_2018
3,19,N,9:10:00 AM,0.978,9:49:00 AM,11.29,8.5,19.3,3:10:00 PM,360.00,0.85,3:55:00 PM,366.00,9.33,8.5,19.9,20,s,1_8_2018
3,20,N,11:09:00 AM,1.003,11:57:00 AM,11.91,8.7,19.1,5:07:00 PM,358.00,0.859,5:57:00 PM,360.00,13.72,8.6,20.1,15,s,1_8_2018
3,21,N,11:36:00 AM,1.089,12:34:00 PM,13.95,8.6,19,5:39:00 PM,363.00,0.923,6:28:00 PM,354.00,11.94,8.6,20.1,20,s,1_8_2018
3,22,Y,10:04:00 AM,1.034,11:02:00 AM,10.02,8.7,18.7,4:06:00 PM,362.00,0.814,4:53:00 PM,351.00,11.71,8.6,20.2,0,s,1_8_2018
3,23,Y,10:27:00 AM,0.946,11:29:00 AM,9.12,8.7,19,4:32:00 PM,365.00,0.806,5:25:00 PM,356.00,9.11,8.7,20,0,s,1_8_2018
3,24,Y,11:58:00 AM,0.887,1:05:00 PM,9.08,8.6,19.2,5:58:00 PM,360.00,0.842,5:14:00 PM,249.00,10.06,8.6,20.1,0,s,1_8_2018
4,25,N,8:59:00 AM,20.19,9:30:00 AM,14.75,8.5,19.4,2:57:00 PM,358.00,15.97,3:37:00 PM,367.00,13.19,8.7,20,45,s,1_8_2018
4,26,N,9:12:00 AM,22.27,9:56:00 AM,12.76,8.7,19.2,3:13:00 PM,361.00,19.14,3:59:00 PM,363.00,11.32,8.6,20,15,s,1_8_2018
4,27,N,9:47:00 AM,21.83,10:29:00 AM,12.58,8.5,19.1,3:47:00 PM,360.00,21.38,4:30:00 PM,361.00,13.39,8.5,19.8,17,s,1_8_2018
4,28,N,11:42:00 AM,19.27,12:43:00 PM,16.96,8.8,19.2,5:41:00 PM,359.00,19.73,6:39:00 PM,356.00,16.52,8.7,20.1,15,s,1_8_2018
4,29,N,12:01:00 PM,18.51,1:15:00 PM,12.15,8.6,19.4,6:00:00 PM,359.00,17.1,5:24:00 PM,249.00,13.31,8.6,20.1,17,s,1_8_2018
4,30,Y,8:42:00 AM,22.38,9:05:00 AM,14.47,8.9,19.3,2:36:00 PM,354.00,19.49,3:06:00 PM,361.00,16.65,8.8,20,0,s,1_8_2018
4,31,Y,10:30:00 AM,21.21,11:36:00 AM,12.78,8.8,19,4:34:00 PM,364.00,22.76,5:35:00 PM,359.00,12.92,8.6,20.1,0,s,1_8_2018
4,32,Y,11:12:00 AM,22.33,12:07:00 PM,16.33,8.8,19.1,5:09:00 PM,357.00,20.67,6:03:00 PM,356.00,13.7,8.7,20.2,0,s,1_8_2018
5,33,N,9:16:00 AM,3.547,10:05:00 AM,11.08,8.8,19.2,3:16:00 PM,360.00,3.223,4:03:00 PM,358.00,10.42,8.6,20.1,20,s,1_8_2018
5,34,N,9:51:00 AM,3.915,10:40:00 AM,12.62,8.8,18.8,3:49:00 PM,358.00,2.977,4:33:00 PM,353.00,10.36,8.7,20,27,s,1_8_2018
5,35,N,10:18:00 AM,3.05,11:08:00 AM,10.83,8.6,18.9,4:18:00 PM,360.00,2.977,5:03:00 PM,355.00,14.59,8.6,20,33,s,1_8_2018
5,36,N,11:15:00 AM,3.098,12:17:00 PM,11.4,8.6,19.2,5:12:00 PM,357.00,3.5,6:15:00 PM,358.00,10.08,8.6,20.3,13,s,1_8_2018
5,37,N,11:45:00 AM,3.098,12:53:00 PM,13.34,8.7,19.1,5:43:00 PM,358.00,3.017,6:50:00 PM,357.00,15.75,8.7,20.1,18,s,1_8_2018
5,38,Y,8:45:00 AM,3.87,9:08:00 AM,11.82,8.8,19.2,2:42:00 PM,357.00,3.045,3:12:00 PM,364.00,15.81,8.6,19.9,0,s,1_8_2018
5,39,Y,9:01:00 AM,3.677,9:41:00 AM,14.04,8.8,19.2,2:58:00 PM,357.00,3.007,3:44:00 PM,363.00,12.09,8.6,19.8,0,s,1_8_2018
1,1,N,8:25:00 AM,8.473,8:51:00 AM,18.24,8.6,20.1,2:25:00 PM,360.00,3.1,2:51:00 PM,360.00,18.27,8.5,20.6,26,s,2_12_2018
1,2,N,8:55:00 AM,9.428,9:20:00 AM,18.61,8.6,20.1,2:55:00 PM,360.00,4.69,3:19:00 PM,359.00,17.72,8.6,20.7,17,s,2_12_2018
1,3,N,9:28:00 AM,8.456,9:49:00 AM,17.28,8.6,20.2,3:28:00 PM,360.00,4.324,3:48:00 PM,359.00,18.08,8.6,20.8,20,s,2_12_2018
1,4,N,11:28:00 AM,8.949,11:57:00 AM,17.62,8.6,20.2,5:27:00 PM,359.00,6.911,5:58:00 PM,361.00,18.46,8.6,21.1,19,s,2_12_2018
1,5,N,11:58:00 AM,8.852,12:20:00 PM,17.91,8.7,20.02,5:58:00 PM,360.00,7.539,6:18:00 PM,358.00,18.34,8.7,20.9,13,s,2_12_2018
1,6,Y,8:02:00 AM,10.26,8:26:00 AM,19.38,8.6,20.3,1:47:00 PM,345.00,8.883,2:25:00 PM,359.00,17.54,8.5,21.2,0,s,2_12_2018
1,7,Y,10:20:00 AM,8.491,10:58:00 AM,17.98,8.6,20.3,4:20:00 PM,360.00,7.055,4:58:00 PM,360.00,18.1,8.6,21.1,0,s,2_12_2018
1,8,Y,10:51:00 AM,8.464,11:31:00 AM,18.33,8.6,20.3,4:50:00 PM,359.00,6.628,5:29:00 PM,358.00,18.53,8.6,21,0,s,2_12_2018
2,9,N,8:58:00 AM,16.25,9:26:00 AM,19.05,8.6,20.2,2:58:00 PM,360.00,7.732,3:26:00 PM,360.00,18.56,8.5,21,27,s,2_12_2018
2,10,N,9:30:00 AM,18.04,9:57:00 AM,17.84,8.6,20.2,3:30:00 PM,360.00,12.18,3:57:00 PM,360.00,18.06,8.6,20.9,24,s,2_12_2018
2,11,N,10:09:00 AM,17.65,10:27:00 AM,19.44,8.6,20.2,4:08:00 PM,359.00,14.19,4:26:00 PM,359.00,18.39,8.6,21,31,s,2_12_2018
2,12,N,11:32:00 AM,17.91,12:04:00 PM,18.44,8.6,20.3,5:30:00 PM,358.00,14.05,6:04:00 PM,360.00,19.07,8.6,21.1,25,s,2_12_2018
2,13,N,12:01:00 PM,16.06,12:28:00 PM,18.86,8.6,20.2,6:00:00 PM,359.00,16.24,6:25:00 PM,357.00,18.45,8.6,21.1,9,s,2_12_2018
2,14,Y,8:07:00 AM,16.72,8:32:00 AM,19.83,8.6,20.2,1:50:00 PM,343.00,14.73,2:31:00 PM,359.00,17.86,8.5,21,0,s,2_12_2018
2,15,Y,8:28:00 AM,16.86,8:59:00 AM,18.77,8.6,20.3,2:28:00 PM,360.00,12.28,2:58:00 PM,359.00,18.9,8.5,20.8,0,s,2_12_2018
2,16,Y,10:59:00 AM,16.99,11:36:00 AM,18.6,8.6,20.1,4:58:00 PM,359.00,15.45,5:37:00 PM,361.00,18.34,8.6,21,0,s,2_12_2018
3,17,N,7:40:00 AM,1.06,7:58:00 AM,22.48,8.5,20.7,1:42:00 PM,362.00,0.966,1:59:00 PM,361.00,19.64,8.6,21.1,2,s,2_12_2018
3,18,N,9:34:00 AM,1.26,10:06:00 AM,17.38,8.6,20.2,3:34:00 PM,360.00,1.139,4:06:00 PM,360.00,16.77,8.6,20.8,8,s,2_12_2018
3,19,N,10:12:00 AM,0.949,10:33:00 AM,17.88,8.6,20.2,4:10:00 PM,358.00,0.859,4:34:00 PM,361.00,17.04,8.6,21.2,24,s,2_12_2018
3,20,N,10:42:00 AM,1.072,11:05:00 AM,17.25,8.6,20.5,4:43:00 PM,361.00,0.942,5:06:00 PM,361.00,17.99,8.6,21,17,s,2_12_2018
3,21,N,12:03:00 PM,1.079,12:34:00 PM,17.55,8.6,20.3,6:02:00 PM,359.00,0.883,6:33:00 PM,359.00,17.25,8.6,21.5,14,s,2_12_2018
3,22,Y,8:33:00 AM,0.942,9:07:00 AM,16.47,8.6,20.5,2:33:00 PM,360.00,0.884,3:05:00 PM,358.00,17.38,8.6,20.8,0,s,2_12_2018
3,23,Y,9:01:00 AM,1.204,9:33:00 AM,17.45,8.6,20.3,3:02:00 PM,361.00,0.933,3:34:00 PM,361.00,17.76,8.5,20.7,0,s,2_12_2018
3,24,Y,11:36:00 AM,1.13,12:12:00 PM,16.93,8.6,20.3,5:38:00 PM,362.00,0.878,6:10:00 PM,358.00,17.65,8.6,20.9,0,s,2_12_2018
4,25,N,7:48:00 AM,24.56,8:08:00 AM,22.39,85,20.3,1:44:00 PM,356.00,7.599,2:09:00 PM,361.00,19.27,8.5,21.1,20,s,2_12_2018
4,26,N,8:18:00 AM,22.63,8:35:00 AM,19.88,8.6,20.3,2:18:00 PM,360.00,14.94,2:38:00 PM,363.00,18.89,8.6,20.9,11,s,2_12_2018
4,27,N,10:15:00 AM,22.13,10:41:00 AM,17.88,8.6,20.2,4:12:00 PM,357.00,21.89,4:42:00 PM,361.00,19.49,8.6,21.2,12,s,2_12_2018
4,28,N,10:45:00 AM,19.97,11:14:00 AM,18.13,8.6,20.5,4:45:00 PM,360.00,16.39,5:15:00 PM,361.00,20.12,8.6,21.2,12,s,2_12_2018
4,29,N,11:24:00 AM,22.26,11:45:00 AM,20.13,8.7,20.1,5:24:00 PM,360.00,19.13,5:45:00 PM,360.00,19.58,8.7,20.8,15,s,2_12_2018
4,30,Y,9:08:00 AM,20.6,9:41:00 AM,20.2,8.6,20.1,3:08:00 PM,360.00,19.49,3:40:00 PM,359.00,19.44,8.5,20.7,0,s,2_12_2018
4,31,Y,9:37:00 AM,21.2,10:14:00 AM,19.45,8.6,20.3,3:37:00 PM,360.00,17.81,4:15:00 PM,361.00,18.59,8.5,20.7,0,s,2_12_2018
4,32,Y,12:05:00 PM,20.93,12:41:00 PM,18.7,8.7,20.4,6:05:00 PM,360.00,19.96,6:41:00 PM,360.00,19.17,8.6,21.5,0,s,2_12_2018
5,33,N,7:55:00 AM,3.734,8:17:00 AM,19.57,8.6,20.6,1:46:00 PM,351.00,1.839,2:17:00 PM,360.00,17.24,8.6,21.2,12,s,2_12_2018
5,34,N,8:20:00 AM,3.215,8:43:00 AM,17.8,8.6,20.2,2:22:00 PM,362.00,1.615,2:42:00 PM,359.00,17.55,8.6,20.8,12,s,2_12_2018
5,35,N,8:52:00 AM,3.216,9:16:00 AM,17.95,8.6,20.1,2:52:00 PM,360.00,1.891,3:14:00 PM,358.00,17.69,8.6,20.9,22,s,2_12_2018
5,36,N,10:47:00 AM,4.309,11:23:00 AM,18.56,8.7,20.2,4:47:00 PM,360.00,2.466,5:23:00 PM,360.00,18.9,8.6,21,26,s,2_12_2018
5,37,N,11:26:00 AM,3.645,11:53:00 AM,17.798,8.7,20.2,5:26:00 PM,360.00,2.391,5:50:00 PM,357.00,18.25,8.6,20.9,12,s,2_12_2018
5,38,Y,9:42:00 AM,3.22,10:19:00 AM,17.39,8.6,20.2,3:42:00 PM,360.00,2.767,4:20:00 PM,361.00,17.3,8.6,20.6,0,s,2_12_2018
5,39,Y,10:17:00 AM,2.909,10:50:00 AM,16.62,8.7,20.3,4:16:00 PM,359.00,3.266,4:50:00 PM,360.00,19.41,8.6,21.2,0,s,2_12_2018
5,40,Y,12:12:00 PM,3.214,12:49:00 PM,17,8.7,20.5,6:10:00 PM,358.00,3.225,6:49:00 PM,360.00,17.8,8.6,21,0,s,2_12_2018
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
