Authors,Title,Genus,species,Replicates,Temp,Max_filtering,sd_filtering,CI_filtering_upper,CI_filtering_low,units,half_saturation food density,half_sat_sd,half_sat_units,,algal_conc,daphnia_size,Excretion rate,exc_rate_mg_per_ind_day,sd_error_excretion,units_excretion,daphnia_reproduction,sd_repro,units_reproduction,daphnia_growth,sd_growth,95_growth,units_growth,daphnia_survival,sd_survival,95CI,range,units_survival,food_type,ammoium conc,units,nitrogen removal,units,max_ammonium_uptake,max_uptake_mg_day,max_uptake_units,max_uptake_sd,half_sat_amm,units,half_sat_mg_N_L ,sd_half_sat,range_half_sat,nitrogen removal,units,sd,death_rate,units_death,algal_death_per_day,95_conf_death,sd_death,range_death,growth_rate,units,sd,range,time_period(days),fit_method,nitrification,units,convert_mg_N_day,sd,range,75 quartile,N_conversion efficiency,Notes
Jeon et al 2006,Combined effects of light intensity and acetate concentrations on the growth on the unicellular microalga Haematococcus pluvialis,Haemetococcus ,pluvialis,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,g per L per day,0.191,,,,,,,,,,,different sodium acetate concentrations
Jeon et al 2006,Combined effects of light intensity and acetate concentrations on the growth on the unicellular microalga Haematococcus pluvialis,Haemetococcus ,pluvialis,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096,g per L per day,0.104,,,,,,,,,,,different sodium acetate concentrations
Jeon et al 2006,Combined effects of light intensity and acetate concentrations on the growth on the unicellular microalga Haematococcus pluvialis,Haemetococcus ,pluvialis,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,g per L per day,0.207,,,,,,,,,,,different sodium acetate concentrations
Jeon et al 2006,Combined effects of light intensity and acetate concentrations on the growth on the unicellular microalga Haematococcus pluvialis,Haemetococcus ,pluvialis,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,g per L per day,0.081,,,,,,,,,,,different sodium acetate concentrations
Jeon et al 2006,Combined effects of light intensity and acetate concentrations on the growth on the unicellular microalga Haematococcus pluvialis,Haemetococcus ,pluvialis,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,g per L per day,0.255,,,,,,,,,,,different sodium acetate concentrations
Jeon et al 2006,Combined effects of light intensity and acetate concentrations on the growth on the unicellular microalga Haematococcus pluvialis,Haemetococcus ,pluvialis,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,g per L per day,0.086,,,,,,,,,,,different sodium acetate concentrations
Jeon et al 2006,Combined effects of light intensity and acetate concentrations on the growth on the unicellular microalga Haematococcus pluvialis,Haemetococcus ,pluvialis,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,g per L per day,0.133,,,,,,,,,,,different sodium acetate concentrations
Jeon et al 2006,Combined effects of light intensity and acetate concentrations on the growth on the unicellular microalga Haematococcus pluvialis,Haemetococcus ,pluvialis,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,g per L per day,0.15,,,,,,,,,,,different sodium acetate concentrations
Katsuda et al 2006,Effect of flashing light from blue light emitting diodes on cell growth and astazanthin production of haematococcus pluvialis,Haemetococcus ,pluvialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,per hour,0.005,,,,,,,,,,,
Katsuda et al 2006,Effect of flashing light from blue light emitting diodes on cell growth and astazanthin production of haematococcus pluvialis,Haemetococcus ,pluvialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000043,per hour,0.5,,,,,,,,,,,
Kruskopf and Du Plessis 2004,Induction of both acid and alkaline phosphate activity in two green-algae (chlorophyceae) in low N and P concentrations,Chlorella,sp,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,per day,0.024494897,,,,,,,,,,,
Kruskopf and Du Plessis 2004,Induction of both acid and alkaline phosphate activity in two green-algae (chlorophyceae) in low N and P concentrations,Chlamydomonas,sp,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,per day,1.053280589,,,,,,,,,,,
Long et al 2011,"Numerical simulation for impactsof hydrodynamic conditions on algae growth in Chongqing Section of Jialing River, China",Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,per day,0.185,,,,1.27,per day,,,,,,,,,,,,
Mayer et al 2000,"Algal growth inhibition test in filled, closed bottles for volatile and sorptive materials",Pseudokirchneriella ,subcapitata,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,per day,,,,,,,,,,,,only took rates reported in writing didn't take from figure 2 because error type isn't reported anyway- closed head space- also 3 reps is a guess bc their other experiment was 3
Mayer et al 2001,"Algal growth inhibition test in filled, closed bottles for volatile and sorptive materials",Pseudokirchneriella ,subcapitata,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,per day,,,,,,,,,,,,only took rates reported in writing didn't take from figure 2 because error type isn't reported anyway- closed head space- also 3 reps is a guess bc their other experiment was 4
Mayer et al 2002,"Algal growth inhibition test in filled, closed bottles for volatile and sorptive materials",Pseudokirchneriella ,subcapitata,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,per day,,,,,,,,,,,,only took rates reported in writing didn't take from figure 2 because error type isn't reported anyway- open head space
Nyholm 1990,Expression of results from growth inhibition toxicity tests with algae,Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,per day,,,,,,,,,,,,not sure about replicates- says from 6 experiments---.. But\
Nyholm 1990,Expression of results from growth inhibition toxicity tests with algae,Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,per day,,,,,,,,,,,,not sure about replicates- says 2-4 replicates
Nyholm 1990,Expression of results from growth inhibition toxicity tests with algae,Scenedesmus,subspicatus,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,per day,,,,,,,,,,,,not sure about replicates- says 2-4 replicates
Nyholm 1990,Expression of results from growth inhibition toxicity tests with algae,Scenedesmus,subspicatus,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,per day,,,,,,,,,,,,not sure about replicates- says 2-4 replicates
Ogawa and Aiba 1981,Bioenergetic analysis of mixotrophic growth in chlorella vulgaris and scenedesmus acutus,Chlorella,vulgaris,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11265,per hour,,,,,,,,,,,,taken from autotroph treatment
Ogawa and Aiba 1981,Bioenergetic analysis of mixotrophic growth in chlorella vulgaris and scenedesmus acutus,Scenedesmus,acutus,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,per hour,,,,,,,,,,,,taken from autotroph treatment
Pohl et al 2014,Inhibition of green algae growth by corrole-based photosensitizers,Chlorella,fusca var vacuolata,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0176,per day,,,4,,,,,,,,,"taken from reference bars, day 4 and day 18 sd bars extremely tiny couldn't get data"
Pohl et al 2015,Inhibition of green algae growth by corrole-based photosensitizers,Chlorella,fusca var vacuolata,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1183,per day,0.003,,7,,,,,,,,,"taken from reference bars, day 4 and day 18 sd bars extremely tiny couldn't get data"
Pohl et al 2016,Inhibition of green algae growth by corrole-based photosensitizers,Chlorella,fusca var vacuolata,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169,per day,0.0059,,8,,,,,,,,,"taken from reference bars, day 4 and day 18 sd bars extremely tiny couldn't get data"
Pohl et al 2017,Inhibition of green algae growth by corrole-based photosensitizers,Chlorella,fusca var vacuolata,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1272,per day,0.0058,,11,,,,,,,,,"taken from reference bars, day 4 and day 18 sd bars extremely tiny couldn't get data"
Pohl et al 2018,Inhibition of green algae growth by corrole-based photosensitizers,Chlorella,fusca var vacuolata,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158,per day,0.0059,,13,,,,,,,,,"taken from reference bars, day 4 and day 18 sd bars extremely tiny couldn't get data"
Pohl et al 2019,Inhibition of green algae growth by corrole-based photosensitizers,Chlorella,fusca var vacuolata,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0661,per day,,,18,,,,,,,,,"taken from reference bars, day 4 and day 18 sd bars extremely tiny couldn't get data"
Theodorou et al 1990,Effects of phosphorus limitation of respiratory metabolism in the green alga selenastrum minutum,Selenestrum,minutum,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,per day,,,,,,,,,,,,
Wong 2000,"Effects of 2,4-D, glyphosate and paraquat on growth, photosynthesis and chlorophyll-a synthesis of Scenedesmus quadricauda Berb 614",Scenedesmus,quadricauda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,per hour,0.002,,,,,,,,,,,
Xin et al 2010,Growth and nutrient removal properties of a freshwater microalga Scenedesmus sp LXI under different kinds of nitrogen sources,Scenedesmus,LX1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,per day,,,,logistic regression,,,,,,,,nitrate at nitrogen source
Xin et al 2010,Growth and nutrient removal properties of a freshwater microalga Scenedesmus sp LXI under different kinds of nitrogen sources,Scenedesmus,LX1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,per day,,,,logistic regression,,,,,,,,ammonium as nitrogen source
Xin et al 2010,Growth and nutrient removal properties of a freshwater microalga Scenedesmus sp LXI under different kinds of nitrogen sources,Scenedesmus,LX1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,per day,,,,logistic regression,,,,,,,,urea as ammonium source
Yang et al 2011,Mathematical model of chlorella minutissima UTEX2341 growth and lipid production under photoheterotrophic fermentation conditions,Chlorella,minutissima,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3469,per day,,,,,,,,,,,,
Yoshida et al 2004,"Evolutionary trade-off between defence against grazing and competitive ability in a simple unicellular alga, Chlorella vulgaris",Chlorella,vulgaris,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NO3 uM,,,,,,,,,,,,,,,,,,,,,1.73,per day,0.025,,,,,,,,,,,
Yoshida et al 2005,"Evolutionary trade-off between defence against grazing and competitive ability in a simple unicellular alga, Chlorella vulgaris",Chlorella,vulgaris,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,NO3 uM,,,,,,,,,,,,,,,,,,,,,1.6,per day,0.055,,,,,,,,,,,
Yoshida et al 2006,"Evolutionary trade-off between defence against grazing and competitive ability in a simple unicellular alga, Chlorella vulgaris",Chlorella,vulgaris,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,NO3 uM,,,,,,,,,,,,,,,,,,,,,2,population per day,0.02,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,mg per liter,31.5,,,,,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,nh4-n mg per liter,,,,,,,,,,,,0.56,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,nh4-n mg per liter,,,,,,,,,,,,0.43,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,nh4-n mg per liter,,,,,,,,,,,,0.78,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,nh4-n mg per liter,,,,,,,,,,,,0.7,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,nh4-n mg per liter,,,,,,,,,,,,0.77,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,nh4-n mg per liter,,,,,,,,,,,,0.94,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,nh4-n mg per liter,,,,,,,,,,,,0.91,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,nh4-n mg per liter,,,,,,,,,,,,1.17,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,nh4-n mg per liter,,,,,,,,,,,,1.15,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,nh4-n mg per liter,,,,,,,,,,,,1.9,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,nh4-n mg per liter,,,,,,,,,,,,2.15,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,nh4-n mg per liter,,,,,,,,,,,,2.86,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Aslan and Kapdan 2005,Batch kinetics of nitrogen and phosphorus removal from synthetic wastewater by algae,Chlorella,vulgaris,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,nh4-n mg per liter,,,,,,,,,,,,3.04,Nh4-n mg per mg chla per day,,,,,,,,,,,,,,,,,,,,,
Brune et al 2003,Intensification of pond aquaculture and high rate photosynthetic systems,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,mg N/mg Volitile Solids day,,,,,,
Dodds et al 2000,Quantification of the nitrogen cycle in a prairie stream,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,mg per meter2 per day,,,,,,says to take with caution because there was also enrichment
Elrifi et al 1988,RuBP Limitation of Photosynthetic Carbon fixation during NH3 assimilation,Selenestrum,minutum,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,umol N per mg per chl hour,,,,,,,,,,,,,,,,,,,,,gives error of +/- 7 but doesn't say what type of error
Elrifi et al 1988,RuBP Limitation of Photosynthetic Carbon fixation during NH3 assimilation,Chlorella,pyrenoidosa,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,umol N per mg per chl hour,,,,,,,,,,,,,,,,,,,,,gives error of +/- 1 but doesn't say what type of error
Jimenez-Perez et al 2004,Growth and nutrient removal in free and immobilized planktonic green algae isolated from pig manure,scenedesmus,intermedius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,mg N per hour,0.003,,,,,,,,,,,,,,,,,,,,from free not immobilized cells
Jimenez-Perez et al 2004,Growth and nutrient removal in free and immobilized planktonic green algae isolated from pig manure,Nanochloris,sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,ng N per hour,0.001,,,,,,,,,,,,,,,,,,,,from free not immobilized cells
Kamalanathan et al 2016,Impacts of nitrogen and phosphorus starvation on the physiology of Chlamydomonas reinhardtii,Chlamydomonas,reinhardii,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,cells per day,0.04,,,,,,,,,,,
Kapdan and Aslan 2008,Application of the Stover-Kincannon kinetic model to nitrogen removal by Chlorella vulgaris in a continuously operated immobilized photobioreactor system,Chlorella,vulgaris,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,mg per liter day,,10.3,mg per liter day,10.3,,,,,,,,,,,,,,,,,,,,,,,,,not sure about reps but getting it from the fact that they had 20 tubes and five treatmetns
Kemps and Dodds,"The influence of ammonium, nitrate, and dissolved oxygen concentrations on uptake, nitrification, and denitrification rates associated with prairie stream substrata",mixed,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.9,mg NH4-N gdm-1 per day,,2.4,mg NH4-N gdm-1 per day,2.4,,,,,,,,,,,,,,,,,,0.96,,,,,,,
Kim et al 2013,Removal of nitrogen and phosphorus by Chlorella sorokiniana cultured heterotrophically in ammonia and nitrate,Chlorella,sorokiniana,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,mg per liter,,,,,,,,,,,,4.2,mg N per liter per day,,,,,,,,,,,,,,,,,,,,,gives error of +/- 0.11 but doesn't say what type of error
Kim et al 2014,Removal of nitrogen and phosphorus by Chlorella sorokiniana cultured heterotrophically in ammonia and nitrate,Chlorella,sorokiniana,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,mg per liter,,,,,,,,,,,,5.08,mg N per liter per day,,,,,,,,,,,,,,,,,,,,,gives error of +/- 0.13 but doesn't say what type of error
Kim et al 2015,Removal of nitrogen and phosphorus by Chlorella sorokiniana cultured heterotrophically in ammonia and nitrate,Chlorella,sorokiniana,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,mg per liter,,,,,,,,,,,,5.02,mg N per liter per day,,,,,,,,,,,,,,,,,,,,,gives error of +/-0.13 but doesn't say what type of error
Kim et al 2016,Removal of nitrogen and phosphorus by Chlorella sorokiniana cultured heterotrophically in ammonia and nitrate,Chlorella,sorokiniana,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,mg per liter,,,,,,,,,,,,11.47,mg N per liter per day,,,,,,,,,,,,,,,,,,,,,gives error of +/- 0.29 but doesn't say what type of error
Kim et al 2017,Removal of nitrogen and phosphorus by Chlorella sorokiniana cultured heterotrophically in ammonia and nitrate,Chlorella,sorokiniana,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,mg per liter,,,,,,,,,,,,18.86,mg N per liter per day,,,,,,,,,,,,,,,,,,,,,gives error of +/- 0.473 but doesn't say what type of error
Park et al 2010,Ammonia removal from anaerobic digestion effluent of livestock waste using green alga Scenedesmus sp,scenedesmus,accuminatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,mg per liter per day,,,,,,,,0.091,per day,,,,,,,,,,,,seeding density (g/L) 0.5
Park et al 2011,Ammonia removal from anaerobic digestion effluent of livestock waste using green alga Scenedesmus sp,scenedesmus,accuminatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87,mg per liter per day,,,,,,,,0.064,per day,,,,,,,,,,,,seeding density (g/L) 0.75
Park et al 2012,Ammonia removal from anaerobic digestion effluent of livestock waste using green alga Scenedesmus sp,scenedesmus,accuminatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,mg per liter per day,,,,,,,,0.049,per day,,,,,,,,,,,,seeding density (g/L) 1
Park et al 2013,Ammonia removal from anaerobic digestion effluent of livestock waste using green alga Scenedesmus sp,scenedesmus,accuminatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,mg per liter per day,,,,,,,,0.043,per day,,,,,,,,,,,,seeding density (g/L) 1.25
Park et al 2014,Ammonia removal from anaerobic digestion effluent of livestock waste using green alga Scenedesmus sp,scenedesmus,accuminatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46,mg per liter per day,,,,,,,,0.038,per day,,,,,,,,,,,,seeding density (g/L) 1.5
Perez-Martinez et al 2010,Utilization of immobilized benthic algal species for N and P removal,Macrochloris ,sp,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,mg N per hour,0.002,,,,,,,,,,,,,,,,,,,,
Perez-Martinez et al 2011,Utilization of immobilized benthic algal species for N and P removal,Palmellopsis,gelatinosa,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,mg N per hour,0.001,,,,,,,,,,,,,,,,,,,,
Perez-Martinez et al 2012,Utilization of immobilized benthic algal species for N and P removal,Chlorosarcinopsis,sp,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,mg N per hour,0.001,,,,,,,,,,,,,,,,,,,,
Perez-Martinez et al 2013,Utilization of immobilized benthic algal species for N and P removal,Pseudopleurococcus sp,sp,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,mg N per hour,0,,,,,,,,,,,,,,,,,,,,
Perez-Martinez et al 2014,Utilization of immobilized benthic algal species for N and P removal,Euglena ,sp,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,mg N per hour,0,,,,,,,,,,,,,,,,,,,,
Perez-Martinez et al 2015,Utilization of immobilized benthic algal species for N and P removal,Euglen ,sp,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,mg N per hour,0.001,,,,,,,,,,,,,,,,,,,,
Ruiz-Marin et al 2010,Growth and nutrient removal in free and immobilized green algae in batch and semi-continuous cultures treating real wastewater,Chlorella,vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,ugram per hour 10^6 cells,,,,,0.01,,,,,,,,,,,,,,,,
Ruiz-Marin et al 2011,Growth and nutrient removal in free and immobilized green algae in batch and semi-continuous cultures treating real wastewater,Scenedesmus,intermedius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,ugram per hour 10^6 cells,,,,,0.01,,,,,,,,,,,,,,,,
Ruiz-Marin et al 2010,Growth and nutrient removal in free and immobilized green algae in batch and semi-continuous cultures treating real wastewater,Chlorella,vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,ugram per hour 10^6 cells,,,,,0.03,,,,,,,,,,,,,,,,
Ruiz-Marin et al 2011,Growth and nutrient removal in free and immobilized green algae in batch and semi-continuous cultures treating real wastewater,Scenedesmus,intermedius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,ugram per hour 10^6 cells,,,,,0.01,,,,,,,,,,,,,,,,
