Authors,Title,Genus,species,Replicates,Temp,Max_filtering,sd_filtering,CI_filtering_upper,CI_filtering_low,units,half_saturation food density,half_sat_sd,half_sat_units,,algal_conc,daphnia_size,Excretion rate,exc_rate_mg_per_ind_day,sd_error_excretion,units_excretion,daphnia_reproduction,sd_repro,units_reproduction,daphnia_growth,sd_growth,95_growth,units_growth,daphnia_survival,sd_survival,95CI,range,units_survival,food_type,ammoium conc,units,nitrogen removal,units,max_ammonium_uptake,max_uptake_mg_day,max_uptake_units,max_uptake_sd,half_sat_amm,units,half_sat_mg_N_L ,sd_half_sat,range_half_sat,nitrogen removal,units,sd,death_rate,units_death,algal_death_per_day,95_conf_death,sd_death,range_death,growth_rate,units,sd,range,time_period(days),fit_method,nitrification,units,convert_mg_N_day,sd,range,75 quartile,N_conversion efficiency,Notes
Ferrando and Andreu 1993,Feeding behaviour as an index of copper stress in Daphnia magna and Brachionus calyciflorus,Daphnia,mgana,5,25,1588,,,,ul/ind/hr,,,,,,,,,,,,,,,,,,,,,,,Nannochloris oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"unclear what error bars are -- filtration, ingestion also available"
"Hansen, Bjorsen and Hansen 1997",Zooplankton grazing and growth: scaling within the 2-2000-um body size range,Daphnia,magna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porter et al 1982,,Daphnia,magna,,,0.033,,,,per hour,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippova and Postnov 1988,,Daphnia,magna,,,0.0329,,,,per hour,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippova and Postnov 1988,,Daphnia,magna,,,0.117,,,,per hour,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kersting and van der Leeuf 1976,,Daphnia,magna,,,0.0141,,,,per hour,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon and Rigler 1965,,Daphnia,magna,,,0.061,,,,per hour,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon and Rigler 1965,,Daphnia,magna,,,0.0425,,,,per hour,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon and Rigler 1965,,Daphnia,magna,,,0.031,,,,per hour,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon and Rigler 1965,,Daphnia,magna,,,0.0585,,,,per hour,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1965,,Daphnia,magna,,,0.166,,,,per hour,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1966,,Daphnia,magna,,,0.162,,,,per hour,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1967,,Daphnia,magna,,,0.083,,,,per hour,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1968,,Daphnia,magna,,,0.085,,,,per hour,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1969,,Daphnia,magna,,,0.141,,,,per hour,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1970,,Daphnia,magna,,,0.072,,,,per hour,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1971,,Daphnia,magna,,,0.062,,,,per hour,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgens et al 1996,Feeding rates of macro- and microzooplankton on heterotrophic nanoflagelletes,Daphnia,magna,3,20,2115.6,223.3,,,ul per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Spumella sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgens et al 1997,Feeding rates of macro- and microzooplankton on heterotrophic nanoflagelletes,Daphnia,magna (juvenile),3,20,476,76.4,,,ul per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Spumella sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgens et al 1998,Feeding rates of macro- and microzooplankton on heterotrophic nanoflagelletes,Daphnia,magna,3,20,2780,484.6,,,ul per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Bodo saltans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgens et al 1999,Feeding rates of macro- and microzooplankton on heterotrophic nanoflagelletes,Daphnia,magna (juvenile),3,20,1084.2,133.2,,,ul per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Bodo saltans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,0.31,0.18,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,0.244,0.184,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,0.277,0.101,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,0.86,0.57,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,1.4,0.22,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,2.86,1.19,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,3.5,0.64,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leu, Faerovig and Hessen 2006",UV effects on stoichiometry and PUFAs of Selenastrum capricornutum and their consequences for the grazer Daphnia magna,Daphnia,magna,5,,2.6,0.42,,,mL/animal/hour,,,,,,,,,,,,,,,,,,,,,,,Selenastrum capricornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lurling, Lange and Van Donk 1997",Changes in food quality of the green alga Scendesmus induced by Daphnia infochemicals: biochemical composition and morphology,Daphnia,magna (juvenile),5,20,0.3,0.066,,,ml/indiv/hour,,,,,,,,,,,,,,,,,,,,,,,Scenedesmus obliquus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8 cells per colony- juvenile size 0.95mm
"Lurling, Lange and Van Donk 1998",Changes in food quality of the green alga Scendesmus induced by Daphnia infochemicals: biochemical composition and morphology,Daphnia,magna (juvenile),5,20,0.22,0.06,,,ml/indiv/hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 cells per colony-juvenile size 0.95mm
"Lurling, Lange and Van Donk 1999",Changes in food quality of the green alga Scendesmus induced by Daphnia infochemicals: biochemical composition and morphology,Daphnia,magna (juvenile),5,20,0.047,0.073,,,ml/indiv/hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8 cells per colony-juvenile size 0.95mm
"Lurling, Lange and Van Donk 2000",Changes in food quality of the green alga Scendesmus induced by Daphnia infochemicals: biochemical composition and morphology,Daphnia,magna,5,20,0.95,0.06,,,ml/indiv/hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8 cells per colony - 1.64mm
"Lurling, Lange and Van Donk 2001",Changes in food quality of the green alga Scendesmus induced by Daphnia infochemicals: biochemical composition and morphology,Daphnia,magna,5,20,0.95,0.05,,,ml/indiv/hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 cells per colony - 1.64 mm
"Lurling, Lange and Van Donk 2002",Changes in food quality of the green alga Scendesmus induced by Daphnia infochemicals: biochemical composition and morphology,Daphnia,magna,5,20,0.95,0.07,,,ml/indiv/hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8 cells per colony -1.64mm
McMahon 1965,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.004,,,,millions cells per individual per hour,,,,,.01 cell/ml,1.25mm,,,,,,,,,,,,,,,,,Chlorella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1966,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.03,,,,millions cells per individual per hour,,,,,0.05,1.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1967,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.035,,,,millions cells per individual per hour,,,,,0.075,1.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1968,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.05,,,,millions cells per individual per hour,,,,,0.1,1.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1969,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.04,,,,millions cells per individual per hour,,,,,0.18,1.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1970,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.05,,,,millions cells per individual per hour,,,,,0.2,1.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1971,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.016,,,,millions cells per individual per hour,,,,,.01 cell/ml,1.91mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1972,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.06,,,,millions cells per individual per hour,,,,,0.05,1.91mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1973,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.09,,,,millions cells per individual per hour,,,,,0.075,1.91mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1974,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.12,,,,millions cells per individual per hour,,,,,0.1,1.91mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1975,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.12,,,,millions cells per individual per hour,,,,,0.2,1.91mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1976,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.12,,,,millions cells per individual per hour,,,,,0.05,2.56mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1977,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.15,,,,millions cells per individual per hour,,,,,0.075,2.56mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1978,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.18,,,,millions cells per individual per hour,,,,,0.1,2.56mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1979,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.23,,,,millions cells per individual per hour,,,,,0.12,2.56mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1980,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.24,,,,millions cells per individual per hour,,,,,0.18,2.56mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1981,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.255,,,,millions cells per individual per hour,,,,,0.2,2.56mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1982,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.15,,,,millions cells per individual per hour,,,,,0.05,2.72mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1983,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.22,,,,millions cells per individual per hour,,,,,0.1,2.72mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1984,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.25,,,,millions cells per individual per hour,,,,,0.12,2.72mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1985,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.28,,,,millions cells per individual per hour,,,,,0.14,2.72mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1986,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.3,,,,millions cells per individual per hour,,,,,0.18,2.72mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1987,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.132,,,,millions cells per individual per hour,,,,,0.05,3.05mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1988,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.24,,,,millions cells per individual per hour,,,,,0.075,3.05mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1989,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.3,,,,millions cells per individual per hour,,,,,0.1,3.05mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1990,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.31,,,,millions cells per individual per hour,,,,,0.12,3.05mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1991,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.33,,,,millions cells per individual per hour,,,,,0.14,3.05mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1992,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.326,,,,millions cells per individual per hour,,,,,0.18,3.05mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1993,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.34,,,,millions cells per individual per hour,,,,,0.2,3.05mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1994,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.03,,,,millions cells per individual per hour,,,,,0.01,3.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1995,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.16,,,,millions cells per individual per hour,,,,,0.05,3.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1996,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.315,,,,millions cells per individual per hour,,,,,0.1,3.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1997,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.38,,,,millions cells per individual per hour,,,,,0.12,3.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1998,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.355,,,,millions cells per individual per hour,,,,,0.14,3.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 1999,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.42,,,,millions cells per individual per hour,,,,,0.16,3.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2000,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.387,,,,millions cells per individual per hour,,,,,0.18,3.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2001,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.42,,,,millions cells per individual per hour,,,,,0.2,3.25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2002,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.045,,,,millions cells per individual per hour,,,,,0.01,3.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2003,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.17,,,,millions cells per individual per hour,,,,,0.05,3.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2004,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.325,,,,millions cells per individual per hour,,,,,0.075,3.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2005,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.34,,,,millions cells per individual per hour,,,,,0.1,3.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2006,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.42,,,,millions cells per individual per hour,,,,,0.12,3.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2007,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.53,,,,millions cells per individual per hour,,,,,0.14,3.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2008,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.5,,,,millions cells per individual per hour,,,,,0.16,3.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2009,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.52,,,,millions cells per individual per hour,,,,,0.18,3.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon 2010,Some physical factors influencing the feeding behavior of Daphnia magna straus,Daphnia,magna,6,,0.5,,,,millions cells per individual per hour,,,,,0.2,3.54mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nizan, Dimentman and Shilo 1986",Acute toxic effects of the cyanobacterium Microcystis aeruginosa of Daphnia magna,Daphnia,magna,1,,0.19,,,,micrograms chl a/ daphnia/ 24 hour,,,,,,,,,,,,,,,,,,,,,,,scenedesmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porter 1976,Enhancement of Algal Growth and productivity by grazing zooplankton,Daphnia,magna,10,,5.32,2.751181564,,,mg algae dry wt per animal per hour,,,,,,,,,,,,,,,,,,,,,,,Sphaerocystis schroeteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porter 1977,Enhancement of Algal Growth and productivity by grazing zooplankton,Daphnia,magna,9,,13.13,5.97,,,mg algae dry wt per animal per hour,,,,,,,,,,,,,,,,,,,,,,,Chlamydomonas reinhardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porter, Gerritsen and Orcutt Jr.","The effect of food concentration on swimming patterns, feeding behavior, ingestion, assimilation, and respiration by Daphnia",Daphnia,magna,11,,3.5,,4.15,2.9,cm^3 per animal per hour,,,,,10^3  cells per cm2,,,,,,,,,,,,,,,,,,Chlamydomonas reinhardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porter, Gerritsen and Orcutt Jr.","The effect of food concentration on swimming patterns, feeding behavior, ingestion, assimilation, and respiration by Daphnia",Daphnia,magna,11,,4.3,,4.9,3.72,cm^3 per animal per hour,,,,,  6600 cells per cm3,,,,,,,,,,,,,,,,,,Chlamydomonas reinhardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porter, Gerritsen and Orcutt Jr.","The effect of food concentration on swimming patterns, feeding behavior, ingestion, assimilation, and respiration by Daphnia",Daphnia,magna,11,,3.8,,4.5,3.16,cm^3 per animal per hour,,,,,7900 cells per cm4,,,,,,,,,,,,,,,,,,Chlamydomonas reinhardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porter, Gerritsen and Orcutt Jr.","The effect of food concentration on swimming patterns, feeding behavior, ingestion, assimilation, and respiration by Daphnia",Daphnia,magna,11,,2.2,,2.6,2,cm^3 per animal per hour,,,,,10^4  cells per cm5,,,,,,,,,,,,,,,,,,Chlamydomonas reinhardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porter, Gerritsen and Orcutt Jr.","The effect of food concentration on swimming patterns, feeding behavior, ingestion, assimilation, and respiration by Daphnia",Daphnia,magna,11,,0.22,,,,cm^3 per animal per hour,,,,,10^5  cells per cm6,,,,,,,,,,,,,,,,,,Chlamydomonas reinhardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porter, Gerritsen and Orcutt Jr.","The effect of food concentration on swimming patterns, feeding behavior, ingestion, assimilation, and respiration by Daphnia",Daphnia,magna,11,,0.05,,,,cm^3 per animal per hour,,,,,10^6  cells per cm7,,,,,,,,,,,,,,,,,,Chlamydomonas reinhardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porter, Feig and Vetter 1983","Morphology, flow regimes and filtering rates of Daphnia, Ceriodaphnia, and Bosmina fed natrual bacteria",Daphnia,magna,5,,2.77,0.223606798,,,ml per animal per hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryther 1954,Inhibitory effects of phytoplankton upon the feeding of daphnia magna,Daphnia,magna,3?,19,0.052,,,,millions chlorella per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Chlorella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryther 1955,Inhibitory effects of phytoplankton upon the feeding of daphnia magna,Daphnia,magna,3?,19,0.13,,,,millions chlorella per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Chlorella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryther 1956,Inhibitory effects of phytoplankton upon the feeding of daphnia magna,Daphnia,magna,3?,19,0.23,,,,millions chlorella per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Chlorella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryther 1957,Inhibitory effects of phytoplankton upon the feeding of daphnia magna,Daphnia,magna,3?,19,0.2,,,,millions chlorella per indiv per hour,,,,,,,,,,,,,,,,,,,,,,,Chlorella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miyazaki et al ,Effects of Ammonium concentration and dilution on the competition between cyanobacterium microcystis novacekii and the green alga scenedesmus quadricuada,Scenedesmus,quadricauda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696,9.744,mol N/mol C day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
